time,latitude,longitude,pitch,yaw,roll,altitude,heading,gvelocity,vvelocity,fvelocity,xaccel,yaccel,zaccel,aoa,gratio,temperature,distance
(yyyy-MM-ddTHH:mm:ssZ),(deg),(deg),(deg),(deg),(deg),(m),(deg),(km/hr),(km/hr),(km/hr),(m/s2),(m/s2),(m/s2),(deg),(ratio),(celsius),(km)
2017-04-13T15:07:55Z,51.05776,-114.12737,177,13.25,71.69,1100.19,-90.88,0.53,1125,930,0.32,810,567,0,0,15.56,0.004883333
2017-04-13T15:07:56Z,51.05776,-114.12737,177,13.25,71.69,1100.31,-90.89,0.67,-450,925,2.4,-5670,3456,0,0,15.5,0.005069444
2017-04-13T15:07:57Z,51.057762,-114.127368,177,13.25,71.69,1099.88,-90.89,0.68,1575,1575,1.2,7290,511,0,0,15.5,0.005258333
2017-04-13T15:07:59Z,51.057762,-114.127368,177,13.25,71.69,1100.5,-91.47,0,-2250,2250,-2.46,-13770,2430,0,0,15.44,0.005258333
2017-04-13T15:08:00Z,51.057762,-114.127367,177,13.25,71.69,1100.06,-90.88,0.34,1575,1575,1.23,13770,-2430,0,0,15.44,0.005352778
2017-04-13T15:08:01Z,51.057763,-114.127367,177,13.25,71.69,1099.88,-91.64,0.68,675,675,1.23,-3240,-3240,0,0,15.38,0.005541667
2017-04-13T15:08:02Z,51.057763,-114.127365,177,13.25,71.69,1100.25,-90.76,0.48,-1350,1350,-0.72,-7290,2430,0,0,15.38,0.005675
2017-04-13T15:08:03Z,51.057765,-114.127365,177,13.25,71.69,1100.06,-91.12,0.68,675,675,0.72,7290,-2430,0,0,15.31,0.005863889
2017-04-13T15:08:04Z,51.057767,-114.127363,177,13.25,71.69,1099.75,-90.88,0.68,1125,1125,0,1620,1620,0,0,15.31,0.006052778
2017-04-13T15:08:05Z,51.057767,-114.127362,177,13.25,71.69,1100.12,-90.89,0.34,-1350,1350,-1.23,-8910,810,0,0,15.25,0.006147222
