time,latitude,longitude,pitch,yaw,roll,altitude,heading,gvelocity,vvelocity,fvelocity,xaccel,yaccel,zaccel,aoa,gratio,temperature,distance
(yyyy-MM-ddTHH:mm:ssZ),(deg),(deg),(deg),(deg),(deg),(m),(deg),(km/hr),(km/hr),(km/hr),(m/s2),(m/s2),(m/s2),(deg),(ratio),(celsius),(km)
2017-04-13T15:15:30Z,51.057758,-114.127412,56.44,11.75,83.12,1097.94,-55.55,1.08,0,1.08,3.89,5670,-5666.11,0,0,20.25,0
2017-04-13T15:15:31Z,51.057753,-114.127407,-174.56,21.69,69.94,1098.44,-58.47,2.37,-1800,1800,4.63,-6480,6476.12,0,0,20.19,0.000658333
2017-04-13T15:15:32Z,51.057753,-114.127433,-174.19,31.75,65.94,1098.56,-59.06,6.71,-450,450.05,15.65,4860,-4859.83,0,-0.01,20.12,0.002522222
2017-04-13T15:15:33Z,51.057757,-114.127485,-168.06,37.5,73.19,1098.75,-59.75,13.07,-675,675.13,22.87,-810,810.27,0,-0.02,20.06,0.006152778
2017-04-13T15:15:34Z,51.05776,-114.12755,-179.5,33.88,87.69,1099,-58.88,16.4,-900,900.15,12.01,-810,810.08,0,-0.02,20.06,0.010708333
2017-04-13T15:15:36Z,51.057772,-114.127643,-179.56,33.81,87.06,1098.81,-58.73,23.94,675,675.42,27.13,5670,-809.01,0,0.04,20,0.017358333
2017-04-13T15:15:37Z,51.057775,-114.12767,-148.19,37.44,69.88,1099.31,-58.63,6.84,-1800,1800.01,-61.55,-8910,4048.52,0,0,19.94,0.019258333
2017-04-13T15:15:38Z,51.057765,-114.127718,-141.88,10.12,67.06,1099.06,-47.14,12.8,900,900.09,21.45,9720,-3239.72,0,0.01,19.94,0.022813889
2017-04-13T15:15:39Z,51.05774,-114.127775,-158.06,325.25,64.81,1099.75,-31.83,17.42,-2475,2475.06,16.61,-12150,5669.89,0,-0.01,19.88,0.027652778
2017-04-13T15:15:40Z,51.057688,-114.127812,-153.19,304.69,69.19,1100.19,-21.77,22.64,-1575,1575.16,18.82,3240,-3239.63,0,-0.01,19.81,0.033941667
2017-04-13T15:15:41Z,51.057623,-114.12782,-163.75,299,71,1099.94,-21.77,26.1,900,900.38,12.46,8910,-2429.22,0,0.03,19.81,0.041191667
2017-04-13T15:15:42Z,51.057543,-114.127822,-164.81,298.94,71.12,1100.56,-22.07,32.03,-2250,2250.23,21.32,-11340,4859.46,0,-0.01,19.69,0.050088889
